date,event_label,control_label,future_max_abs_change,horizon,q_event
2026-01-09,0,1,2.260000228881836,5,0.95
2026-01-12,0,0,1.630000114440918,5,0.95
2026-01-13,0,0,4.1100006103515625,5,0.95
2026-01-14,0,0,3.3400001525878906,5,0.95
2026-01-15,0,0,4.25,5,0.95
2026-01-16,0,0,4.2300004959106445,5,0.95
2026-01-19,0,0,4.2300004959106445,5,0.95
2026-01-20,0,0,4.449999809265137,5,0.95
2026-01-21,0,0,1.2599992752075195,5,0.95
2026-01-22,0,0,1.2399988174438477,5,0.95
2026-01-23,0,0,1.3500003814697266,5,0.95
2026-01-26,0,0,1.2900009155273438,5,0.95
2026-01-27,0,0,1.6499996185302734,5,0.95
2026-01-28,0,1,2.2899990081787145,5,0.95
2026-01-29,0,0,4.89000129699707,5,0.95
2026-01-30,0,0,4.329999923706055,5,0.95
2026-02-02,0,0,5.430000305175781,5,0.95
2026-02-03,0,0,3.770000457763672,5,0.95
2026-02-04,0,0,3.130001068115231,5,0.95
2026-02-05,0,0,4.409999847412109,5,0.95
2026-02-06,0,1,3.010000228881836,5,0.95
2026-02-09,0,0,3.4599990844726562,5,0.95
2026-02-10,0,1,3.029998779296875,5,0.95
2026-02-11,0,0,3.1700000762939453,5,0.95
2026-02-12,0,0,1.1999988555908203,5,0.95
2026-02-13,0,0,1.510000228881836,5,0.95
2026-02-16,0,0,1.510000228881836,5,0.95
2026-02-17,0,0,1.2000007629394531,5,0.95
2026-02-18,0,0,1.6900005340576172,5,0.95
2026-02-19,0,1,2.299999237060547,5,0.95
2026-02-20,0,1,1.9200000762939489,5,0.95
2026-02-23,0,0,3.0799999237060582,5,0.95
2026-02-24,0,0,4.020000457763672,5,0.95
2026-02-25,0,0,5.6399993896484375,5,0.95
2026-02-26,0,0,5.120000839233398,5,0.95
2026-02-27,1,0,9.629999160766605,5,0.95
2026-03-02,0,0,8.049999237060547,5,0.95
2026-03-03,0,0,,5,0.95
2026-03-04,0,0,,5,0.95
2026-03-05,0,0,,5,0.95
2026-03-06,0,0,,5,0.95
2026-03-08,0,0,,5,0.95
